AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_NAM_T,PROV_NAM_E,Region,px_type1,px_type2,px_total,area_rai_1,area_rai_2,area_rai_aban,area_rai_tot,pct_aban
03,สวนผึ้ง,Suan Phung,70,ราชบุรี,Ratchaburi,W,1823,3613,1150210,1025.44,2032.31,3057.75,646993.12,0.4726
04,ดำเนินสะดวก,Dam Noen Saduak,70,ราชบุรี,Ratchaburi,W,0,0,244124,0.0,0.0,0.0,137319.75,0.0
05,บ้านโป่ง,Banpong,70,ราชบุรี,Ratchaburi,W,256,634,404208,144.0,356.62,500.62,227367.0,0.2202
06,บางแพ,Bang Phae,70,ราชบุรี,Ratchaburi,W,24,112,211452,13.5,63.0,76.5,118941.75,0.0643
07,โพธาราม,Photharam,70,ราชบุรี,Ratchaburi,W,593,953,560593,333.56,536.06,869.62,315333.56,0.2758
08,ปากท่อ,Paktho,70,ราชบุรี,Ratchaburi,W,3194,4001,929336,1796.62,2250.56,4047.19,522751.5,0.7742
09,วัดเพลง,Wat Phleng,70,ราชบุรี,Ratchaburi,W,0,0,43829,0.0,0.0,0.0,24653.81,0.0
10,บ้านคา,Ban Kha,70,ราชบุรี,Ratchaburi,W,184,2475,981347,103.5,1392.19,1495.69,552007.69,0.271
01,เมืองกาญจนบุรี,Mueang Kanchanaburi,71,กาญจนบุรี,Kanchanaburi,W,1305,1982,1720900,734.06,1114.88,1848.94,968006.25,0.191
02,ไทรโยค,Sai Yok,71,กาญจนบุรี,Kanchanaburi,W,2302,2242,2988128,1294.88,1261.12,2556.0,1680822.0,0.1521
03,บ่อพลอย,Bo Phloi,71,กาญจนบุรี,Kanchanaburi,W,493,904,1365745,277.31,508.5,785.81,768231.56,0.1023
04,ศรีสวัสดิ์,Si Sawat,71,กาญจนบุรี,Kanchanaburi,W,158,416,3488130,88.88,234.0,322.88,1962073.12,0.0165
05,ท่ามะกา,Tha Maka,71,กาญจนบุรี,Kanchanaburi,W,67,56,460773,37.69,31.5,69.19,259184.81,0.0267
06,ท่าม่วง,Tha Muang,71,กาญจนบุรี,Kanchanaburi,W,535,488,668344,300.94,274.5,575.44,375943.5,0.1531
07,ทองผาภูมิ,Thong Phaphum,71,กาญจนบุรี,Kanchanaburi,W,1387,2276,4489843,780.19,1280.25,2060.44,2525536.69,0.0816
08,สังขละบุรี,Sangkha Buri,71,กาญจนบุรี,Kanchanaburi,W,349,3664,3675202,196.31,2061.0,2257.31,2067301.12,0.1092
09,พนมทวน,Phanom Thuan,71,กาญจนบุรี,Kanchanaburi,W,64,140,531507,36.0,78.75,114.75,298972.69,0.0384
10,เลาขวัญ,Lao Khwan,71,กาญจนบุรี,Kanchanaburi,W,271,1372,1154224,152.44,771.75,924.19,649251.0,0.1423
11,ด่านมะขามเตี้ย,Dan Makham Tia,71,กาญจนบุรี,Kanchanaburi,W,551,530,682312,309.94,298.12,608.06,383800.5,0.1584
12,หนองปรือ,Nong Prue,71,กาญจนบุรี,Kanchanaburi,W,35,100,610588,19.69,56.25,75.94,343455.75,0.0221
13,ห้วยกระเจา,Huai Krachao,71,กาญจนบุรี,Kanchanaburi,W,108,227,629791,60.75,127.69,188.44,354257.44,0.0532
01,เมืองสุพรรณบุรี,Mueang Saphan Buri,72,สุพรรณบุรี,Suphan Buri,C,87,454,564245,48.94,255.38,304.31,317387.81,0.0959
02,เดิมบางนางบวช,Doem Bang Nang Buat,72,สุพรรณบุรี,Suphan Buri,C,114,254,590846,64.12,142.88,207.0,332350.88,0.0623
03,ด่านช้าง,Dan Chang,72,สุพรรณบุรี,Suphan Buri,C,986,639,1430193,554.62,359.44,914.06,804483.56,0.1136
04,บางปลาม้า,Bang Pa Ma,72,สุพรรณบุรี,Suphan Buri,C,179,490,576003,100.69,275.62,376.31,324001.69,0.1161
05,ศรีประจันต์,Si Prachan,72,สุพรรณบุรี,Suphan Buri,C,62,65,322865,34.88,36.56,71.44,181611.56,0.0393
06,ดอนเจดีย์,Don Chadi,72,สุพรรณบุรี,Suphan Buri,C,246,88,374057,138.38,49.5,187.88,210407.06,0.0893
07,สองพี่น้อง,Song Phi Nong,72,สุพรรณบุรี,Suphan Buri,C,419,627,835308,235.69,352.69,588.38,469860.75,0.1252
08,สามชุก,Sam Chuk,72,สุพรรณบุรี,Suphan Buri,C,57,146,345180,32.06,82.12,114.19,194163.75,0.0588
09,อู่ทอง,U Thong,72,สุพรรณบุรี,Suphan Buri,C,229,160,744669,128.81,90.0,218.81,418876.31,0.0522
10,หนองหญ้าไซ,Nong Ya Sai,72,สุพรรณบุรี,Suphan Buri,C,81,31,498376,45.56,17.44,63.0,280336.5,0.0225
01,เมืองนครปฐม,Mueang Nakhon Prathom,73,นครปฐม,Nakhon Prathom,C,452,1718,476220,254.25,966.38,1220.62,267873.75,0.4557
02,กำแพงแสน,Kam Paeng Saen,73,นครปฐม,Nakhon Prathom,C,892,1830,558349,501.75,1029.38,1531.12,314071.31,0.4875
03,นครชัยศรี,Nakhon Chai Si,73,นครปฐม,Nakhon Prathom,C,242,933,301854,136.12,524.81,660.94,169792.88,0.3893
04,ดอนตูม,Don Tum,73,นครปฐม,Nakhon Prathom,C,78,494,175342,43.88,277.88,321.75,98629.88,0.3262
05,บางเลน,Bang Len,73,นครปฐม,Nakhon Prathom,C,622,1805,626530,349.88,1015.31,1365.19,352423.12,0.3874
06,สามพราน,Sam Phran,73,นครปฐม,Nakhon Prathom,C,0,74,266065,0.0,41.62,41.62,149661.56,0.0278
07,พุทธมณฑล,Phuttamonthon,73,นครปฐม,Nakhon Prathom,C,11,41,78848,6.19,23.06,29.25,44352.0,0.0659
01,เมืองสมุทรสาคร,Mueang Samut Sakhon,74,สมุทรสาคร,Samut Sakhon,C,114,854,530929,64.12,480.38,544.5,298647.56,0.1823
02,กระทุ่มแบน,Krathumbaen,74,สมุทรสาคร,Samut Sakhon,C,20,104,151577,11.25,58.5,69.75,85262.06,0.0818
03,บ้านแพ้ว,Ban Paeo,74,สมุทรสาคร,Samut Sakhon,C,57,189,319894,32.06,106.31,138.38,179940.38,0.0769
01,เมืองสมุทรสงคราม,Mueang Samut Songkham,75,สมุทรสงคราม,Samut Songkham,C,0,37,203471,0.0,20.81,20.81,114452.44,0.0182
02,บางคนที,Bang Khonthi,75,สมุทรสงคราม,Samut Songkham,C,0,0,77877,0.0,0.0,0.0,43805.81,0.0
03,อัมพวา,Amphawa,75,สมุทรสงคราม,Samut Songkham,C,24,230,198701,13.5,129.38,142.88,111769.31,0.1278
01,เมืองเพชรบุรี,Mueang Phetchaburi,76,เพชรบุรี,Phetchaburi,W,189,359,333033,106.31,201.94,308.25,187331.06,0.1645
02,เขาย้อย,Khao Yoi,76,เพชรบุรี,Phetchaburi,W,524,2519,365880,294.75,1416.94,1711.69,205807.5,0.8317
03,หนองหญ้าปล้อง,Nong Ya Plong,76,เพชรบุรี,Phetchaburi,W,875,5064,1414101,492.19,2848.5,3340.69,795431.81,0.42
04,ชะอำ,Cha Am,76,เพชรบุรี,Phetchaburi,W,1291,8140,604282,726.19,4578.75,5304.94,339908.62,1.5607
05,ท่ายาง,Tha Yang,76,เพชรบุรี,Phetchaburi,W,741,4587,900462,416.81,2580.19,2997.0,506509.88,0.5917
06,บ้านลาด,Ban Lat,76,เพชรบุรี,Phetchaburi,W,52,745,302411,29.25,419.06,448.31,170106.19,0.2635
07,บ้านแหลม,Ban Laem,76,เพชรบุรี,Phetchaburi,W,0,245,232146,0.0,137.81,137.81,130582.12,0.1055
08,แก่งกระจาน,Kaeng Krachan,76,เพชรบุรี,Phetchaburi,W,352,4401,2960062,198.0,2475.56,2673.56,1665034.88,0.1606
01,เมืองประจวบคีรีขันธ์,Mueang Prachuap Khilikhan,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,228,5817,967069,128.25,3272.06,3400.31,543976.31,0.6251
02,กุยบุรี,Kui Buri,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,391,3383,990885,219.94,1902.94,2122.88,557372.81,0.3809
03,ทับสะแก,Thap Sakae,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,97,1920,623253,54.56,1080.0,1134.56,350579.81,0.3236
04,บางสะพาน,Bang Saphan,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,170,1025,858262,95.62,576.56,672.19,482772.38,0.1392
05,บางสะพานน้อย,Bang Saphan Noi,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,0,162,792425,0.0,91.12,91.12,445739.06,0.0204
06,ปราณบุรี,Pran Buri,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,1198,3231,737154,673.88,1817.44,2491.31,414649.12,0.6008
07,หัวหิน,Hua Hin,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,1765,8288,1343677,992.81,4662.0,5654.81,755818.31,0.7482
08,สามร้อยยอด,Sam Roi Yot,77,ประจวบคีรีขันธ์,Prachuap Khilikhan,W,303,2681,1051670,170.44,1508.06,1678.5,591564.38,0.2837
01,เมืองนครศรีธรรมราช,Mueang Nakhon Si Thammarat,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,12,0,632464,6.75,0.0,6.75,355761.0,0.0019
02,พรหมคีรี,Phrom Khili,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,280965,0.0,0.0,0.0,158042.81,0.0
03,ลานสกา,Lan Saka,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,392035,0.0,0.0,0.0,220519.69,0.0
04,ฉวาง,Chawang,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,493221,0.0,0.0,0.0,277436.81,0.0
05,พิปูน,Phipun,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,561338,0.0,0.0,0.0,315752.62,0.0
06,เชียรใหญ่,Chian Yai,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,230,228,365788,129.38,128.25,257.62,205755.75,0.1252
07,ชะอวด,Cha Uat,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,3494,3147,851870,1965.38,1770.19,3735.56,479176.88,0.7796
08,ท่าศาลา,Tha Sala,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,475817,0.0,0.0,0.0,267647.06,0.0
09,ทุ่งสง,Thung Song,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,1044482,0.0,0.0,0.0,587521.12,0.0
10,นาบอน,Nabon,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,231530,0.0,0.0,0.0,130235.62,0.0
11,ทุ่งใหญ่,Thung Yai,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,682527,0.0,0.0,0.0,383921.44,0.0
12,ปากพนัง,Pak Phanang,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,679,2019,603092,381.94,1135.69,1517.62,339239.25,0.4474
13,ร่อนพิบูลย์,Ron Phibun,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,489068,0.0,0.0,0.0,275100.75,0.0
14,สิชล,Si Chon,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,781478,0.0,0.0,0.0,439581.38,0.0
15,ขนอม,Khanom,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,355317,0.0,0.0,0.0,199865.81,0.0
16,หัวไทร,Hua Sai,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,129,1246,496083,72.56,700.88,773.44,279046.69,0.2772
17,บางขัน,Bang Khan,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,532972,0.0,0.0,0.0,299796.75,0.0
18,ถ้ำพรรณรา,Tham Phanra,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,201798,0.0,0.0,0.0,113511.38,0.0
19,จุฬาภรณ์,Churaphon,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,261176,0.0,0.0,0.0,146911.5,0.0
20,พระพรหม,Phra Phrom,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,169559,0.0,0.0,0.0,95376.94,0.0
21,นบพิตำ,Nop Phi Tam,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,820228,0.0,0.0,0.0,461378.25,0.0
22,ช้างกลาง,Chang Klang,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,0,0,310605,0.0,0.0,0.0,174715.31,0.0
23,เฉลิมพระเกียรติ,Chaloem Phra kiat,80,นครศรีธรรมราช,Nakhon Si Thammarat,S,56,74,206376,31.5,41.62,73.12,116086.5,0.063
01,เมืองกระบี่,Mueang Krabi,81,กระบี่,Krabi,S,0,25,1029369,0.0,14.06,14.06,579020.06,0.0024
02,เขาพนม,Khao Phanom,81,กระบี่,Krabi,S,0,0,965555,0.0,0.0,0.0,543124.69,0.0
03,เกาะลันตา,Ko Lanta,81,กระบี่,Krabi,S,0,43,377470,0.0,24.19,24.19,212326.88,0.0114
04,คลองท่อม,Khlong Thom,81,กระบี่,Krabi,S,0,0,1266683,0.0,0.0,0.0,712509.19,0.0
05,อ่าวลึก,Ao Luk,81,กระบี่,Krabi,S,0,0,894599,0.0,0.0,0.0,503211.94,0.0
06,ปลายพระยา,Plai Phraya,81,กระบี่,Krabi,S,0,0,601976,0.0,0.0,0.0,338611.5,0.0
07,ลำทับ,Lam Thap,81,กระบี่,Krabi,S,0,0,319964,0.0,0.0,0.0,179979.75,0.0
08,เหนือคลอง,Nuea Khlong,81,กระบี่,Krabi,S,0,281,586646,0.0,158.06,158.06,329988.38,0.0479
01,เมืองพังงา,Mueang Phang Nga,82,พังงา,Phang Nga,S,0,0,744488,0.0,0.0,0.0,418774.5,0.0
02,เกาะยาว,Ko Yao,82,พังงา,Phang Nga,S,0,48,1181386,0.0,27.0,27.0,664529.62,0.0041
03,กะปง,Kapong,82,พังงา,Phang Nga,S,0,0,689061,0.0,0.0,0.0,387596.81,0.0
04,ตะกั่วทุ่ง,Ta Kua Thung,82,พังงา,Phang Nga,S,12,248,740974,6.75,139.5,146.25,416797.88,0.0351
05,ตะกั่วป่า,Ta Kua Pa,82,พังงา,Phang Nga,S,97,915,684064,54.56,514.69,569.25,384786.0,0.1479
06,คุระบุรี,Khura Buri,82,พังงา,Phang Nga,S,0,191,1151369,0.0,107.44,107.44,647645.06,0.0166
07,ทับปุด,Thap Put,82,พังงา,Phang Nga,S,0,0,340573,0.0,0.0,0.0,191572.31,0.0
08,ท้ายเหมือง,Thai Muang,82,พังงา,Phang Nga,S,47,219,711646,26.44,123.19,149.62,400300.88,0.0374
01,เมืองภูเก็ต,Mueang Phuket,83,ภูเก็ต,Phuket,S,28,73,205903,15.75,41.06,56.81,115820.44,0.0491
02,กะทู้,Krathu,83,ภูเก็ต,Phuket,S,0,0,90462,0.0,0.0,0.0,50884.88,0.0
03,ถลาง,Tha Lang,83,ภูเก็ต,Phuket,S,45,468,329491,25.31,263.25,288.56,185338.69,0.1557
01,เมืองสุราษฎร์ธานี,Mueang Surat Thani,84,สุราษฎร์ธานี,Surat Thani,S,0,0,381753,0.0,0.0,0.0,214736.06,0.0
02,กาญจนดิษฐ์,Kanchanadit,84,สุราษฎร์ธานี,Surat Thani,S,0,0,1222699,0.0,0.0,0.0,687768.19,0.0
03,ดอนสัก,Donsak,84,สุราษฎร์ธานี,Surat Thani,S,12,11,415000,6.75,6.19,12.94,233437.5,0.0055
04,เกาะสมุย,Ko Samui,84,สุราษฎร์ธานี,Surat Thani,S,0,0,318245,0.0,0.0,0.0,179012.81,0.0
05,เกาะพะงัน,Ko Phangan,84,สุราษฎร์ธานี,Surat Thani,S,0,0,162517,0.0,0.0,0.0,91415.81,0.0
06,ไชยา,Chaiya,84,สุราษฎร์ธานี,Surat Thani,S,9,193,752072,5.06,108.56,113.62,423040.5,0.0269
07,ท่าชนะ,Tha Chana,84,สุราษฎร์ธานี,Surat Thani,S,0,93,1144123,0.0,52.31,52.31,643569.19,0.0081
08,คีรีรัฐนิคม,Khiri Rat Nikhom,84,สุราษฎร์ธานี,Surat Thani,S,0,0,868263,0.0,0.0,0.0,488397.94,0.0
09,บ้านตาขุน,Ban Takhun,84,สุราษฎร์ธานี,Surat Thani,S,0,0,1654359,0.0,0.0,0.0,930576.94,0.0
10,พนม,Phanom,84,สุราษฎร์ธานี,Surat Thani,S,0,0,1384509,0.0,0.0,0.0,778786.31,0.0
11,ท่าฉาง,Tha Chang,84,สุราษฎร์ธานี,Surat Thani,S,0,0,1242573,0.0,0.0,0.0,698947.31,0.0
12,บ้านนาสาร,Banna San,84,สุราษฎร์ธานี,Surat Thani,S,60,0,873658,33.75,0.0,33.75,491432.62,0.0069
13,บ้านนาเดิม,Banna Doem,84,สุราษฎร์ธานี,Surat Thani,S,10,0,212787,5.62,0.0,5.62,119692.69,0.0047
14,เคียนซา,Khian Sa,84,สุราษฎร์ธานี,Surat Thani,S,0,0,855356,0.0,0.0,0.0,481137.75,0.0
